Frequency,ADS,,Theory,,HFSS
2980000000,-5.232295593,,-4.820030836,,-5.491589489
3000000000,-5.146140128,,-4.735874381,,-5.373575928
3020000000,-5.064944537,,-4.656165236,,-5.263660956
3040000000,-4.987889536,,-4.580152165,,-5.160676363
3060000000,-4.914300955,,-4.507219062,,-5.06364914
3080000000,-4.84361934,,-4.436856362,,-4.971763033
3100000000,-4.775376872,,-4.368639419,,-4.884328775
3120000000,-4.709179661,,-4.302211957,,-4.800760817
3140000000,-4.64469399,,-4.237273256,,-4.720558967
3160000000,-4.581635542,,-4.173568144,,-4.64329378
3180000000,-4.519760873,,-4.11087909,,-4.568594838
3200000000,-4.458860611,,-4.049019921,,-4.496141283
3220000000,-4.398753987,,-3.987830773,,-4.425654119
3240000000,-4.339284409,,-3.927174019,,-4.356889904
3260000000,-4.280315849,,-3.866930949,,-4.289635553
3280000000,-4.221729886,,-3.806999057,,-4.223704045
3300000000,-4.163423258,,-3.747289806,,-4.158930832
3320000000,-4.105305843,,-3.68772678,,-4.095170848
3340000000,-4.047298963,,-3.628244144,,-4.032295985
3360000000,-3.989333977,,-3.568785356,,-3.970192966
3380000000,-3.931351093,,-3.509302098,,-3.908761542
3400000000,-3.873298365,,-3.44975336,,-3.847912954
3420000000,-3.815130847,,-3.390104678,,-3.787568622
3440000000,-3.756809874,,-3.330327484,,-3.72765902
3460000000,-3.698302449,,-3.270398558,,-3.66812271
3480000000,-3.639580726,,-3.210299554,,-3.608905504
3500000000,-3.580621561,,-3.150016605,,-3.549959745
3520000000,-3.521406135,,-3.089539979,,-3.491243683
3540000000,-3.461919627,,-3.028863788,,-3.432720925
3560000000,-3.402150937,,-2.967985737,,-3.374359968
3580000000,-3.342092446,,-2.906906912,,-3.316133777
3600000000,-3.281739814,,-2.845631593,,-3.258019428
3620000000,-3.221091807,,-2.784167097,,-3.199997789
3640000000,-3.160150147,,-2.722523642,,-3.142053238
3660000000,-3.098919387,,-2.660714232,,-3.08417342
3680000000,-3.037406802,,-2.598754547,,-3.026349027
3700000000,-2.975622299,,-2.536662865,,-2.96857361
3720000000,-2.913578339,,-2.474459973,,-2.910843403
3740000000,-2.851289875,,-2.412169108,,-2.853157179
3760000000,-2.788774291,,-2.349815885,,-2.795516109
3780000000,-2.726051362,,-2.287428249,,-2.737923647
3800000000,-2.663143206,,-2.225036415,,-2.680385417
3820000000,-2.600074257,,-2.16267282,,-2.62290912
3840000000,-2.536871232,,-2.100372072,,-2.565504445
3860000000,-2.4735631,,-2.038170902,,-2.508182986
3880000000,-2.410181061,,-1.976108111,,-2.450958173
3900000000,-2.346758521,,-1.914224515,,-2.393845201
3920000000,-2.283331062,,-1.852562889,,-2.336860965
3940000000,-2.219936418,,-1.791167903,,-2.280024002
3960000000,-2.156614448,,-1.730086058,,-2.223354434
3980000000,-2.093407097,,-1.669365606,,-2.166873912
4000000000,-2.030358365,,-1.609056471,,-2.110605559
4020000000,-1.967514258,,-1.54921016,,-2.054573921
4040000000,-1.904922743,,-1.489879664,,-1.998804909
4060000000,-1.842633689,,-1.431119345,,-1.943325746
4080000000,-1.780698803,,-1.372984822,,-1.888164912
4100000000,-1.719171556,,-1.315532842,,-1.833352087
4120000000,-1.658107097,,-1.258821134,,-1.77891809
4140000000,-1.59756216,,-1.202908262,,-1.724894817
4160000000,-1.537594957,,-1.147853459,,-1.671315177
4180000000,-1.478265061,,-1.093716452,,-1.618213023
4200000000,-1.41963327,,-1.040557277,,-1.565623082
4220000000,-1.36176147,,-0.988436079,,-1.513580874
4240000000,-1.304712473,,-0.937412906,,-1.462122638
4260000000,-1.248549844,,-0.887547486,,-1.411285244
4280000000,-1.193337722,,-0.838899007,,-1.361106106
4300000000,-1.139140617,,-0.791525876,,-1.311623089
4320000000,-1.0860232,,-0.745485475,,-1.262874409
4340000000,-1.03405008,,-0.70083392,,-1.214898532
4360000000,-0.983285565,,-0.657625802,,-1.167734071
4380000000,-0.93379342,,-0.615913935,,-1.121419669
4400000000,-0.885636602,,-0.575749105,,-1.075993888
4420000000,-0.838877004,,-0.537179813,,-1.031495091
4440000000,-0.793575174,,-0.500252028,,-0.987961319
4460000000,-0.749790045,,-0.465008944,,-0.945430165
4480000000,-0.707578648,,-0.431490748,,-0.903938649
4500000000,-0.666995834,,-0.399734394,,-0.863523087
4520000000,-0.628093994,,-0.369773393,,-0.824218965
4540000000,-0.590922781,,-0.341637619,,-0.7860608
4560000000,-0.555528841,,-0.315353129,,-0.749082018
4580000000,-0.521955556,,-0.290942006,,-0.713314819
4600000000,-0.490242787,,-0.26842222,,-0.678790049
4620000000,-0.460426648,,-0.247807515,,-0.645537077
4640000000,-0.432539283,,-0.229107312,,-0.613583668
4660000000,-0.406608673,,-0.212326652,,-0.582955871
4680000000,-0.382658455,,-0.197466144,,-0.553677902
4700000000,-0.360707771,,-0.184521963,,-0.525772037
4720000000,-0.340771143,,-0.173485851,,-0.499258517
4740000000,-0.322858372,,-0.164345163,,-0.474155447
4760000000,-0.306974467,,-0.157082927,,-0.45047872
4780000000,-0.293119603,,-0.151677935,,-0.428241939
4800000000,-0.281289109,,-0.148104853,,-0.407456351
4820000000,-0.271473484,,-0.14633436,,-0.388130795
4840000000,-0.263658448,,-0.146333301,,-0.370271656
4860000000,-0.257825015,,-0.148064863,,-0.353882833
4880000000,-0.2539496,,-0.151488768,,-0.338965718
4900000000,-0.252004147,,-0.156561477,,-0.325519187
4920000000,-0.251956289,,-0.163236414,,-0.313539604
4940000000,-0.253769521,,-0.171464192,,-0.303020832
4960000000,-0.257403409,,-0.181192855,,-0.293954259
4980000000,-0.2628138,,-0.192368118,,-0.286328839
5000000000,-0.269953063,,-0.204933617,,-0.280131138
5020000000,-0.278770333,,-0.218831158,,-0.27181271
5040000000,-0.289211773,,-0.234000963,,-0.269321632
5060000000,-0.301220839,,-0.25038192,,-0.268187094
5080000000,-0.314738555,,-0.267911818,,-0.268382035
5100000000,-0.329703786,,-0.286527589,,-0.269877191
5120000000,-0.346053516,,-0.306165528,,-0.272641216
5140000000,-0.363723121,,-0.32676152,,-0.276640801
5160000000,-0.382646639,,-0.348251243,,-0.281840805
5180000000,-0.402757035,,-0.370570372,,-0.288204387
5200000000,-0.423986457,,-0.393654759,,-0.295693139
5220000000,-0.446266483,,-0.417440618,,-0.304267227
5240000000,-0.469528355,,-0.441864677,,-0.31388553
5260000000,-0.493703209,,-0.466864337,,-0.324505777
5280000000,-0.51872228,,-0.492377806,,-0.336084686
5300000000,-0.544517106,,-0.518344225,,-0.348578103
5320000000,-0.571019711,,-0.54470378,,-0.361941135
5340000000,-0.598162774,,-0.571397805,,-0.376128282
5360000000,-0.625879785,,-0.598368867,,-0.391093567
5380000000,-0.654105189,,-0.625560848,,-0.406790659
5400000000,-0.682774511,,-0.652919009,,-0.423172988
5420000000,-0.711824474,,-0.680390047,,-0.440193868
5440000000,-0.741193091,,-0.70792214,,-0.457806597
5460000000,-0.770819761,,-0.735464987,,-0.475964565
5480000000,-0.800645339,,-0.762969837,,-0.494621348
5500000000,-0.830612197,,-0.790389506,,-0.513730802
5520000000,-0.860664281,,-0.817678394,,-0.533247143
5540000000,-0.890747147,,-0.84479249,,-0.553125027
5560000000,-0.920807996,,-0.871689373,,-0.573319624
5580000000,-0.950795692,,-0.89832821,,-0.593786681
5600000000,-0.980660779,,-0.924669738,,-0.61448258
5620000000,-1.010355487,,-0.950676261,,-0.635364394
5640000000,-1.039833726,,-0.97631162,,-0.656389935
5660000000,-1.069051086,,-1.001541182,,-0.677517794
5680000000,-1.097964819,,-1.026331806,,-0.698707377
5700000000,-1.126533821,,-1.050651822,,-0.71991894
5720000000,-1.154718614,,-1.074471001,,-0.741113609
5740000000,-1.182481311,,-1.097760519,,-0.762253409
5760000000,-1.209785597,,-1.12049293,,-0.783301276
5780000000,-1.236596688,,-1.142642132,,-0.804221072
5800000000,-1.262881299,,-1.164183326,,-0.824977597
5820000000,-1.288607608,,-1.185092991,,-0.845536588
5840000000,-1.313745215,,-1.205348839,,-0.865864729
5860000000,-1.338265105,,-1.224929787,,-0.885929646
5880000000,-1.362139605,,-1.243815918,,-0.905699905
5900000000,-1.385342344,,-1.261988447,,-0.925145008
5920000000,-1.407848211,,-1.279429685,,-0.944235383
5940000000,-1.429633316,,-1.296123008,,-0.962942373
5960000000,-1.450674943,,-1.312052823,,-0.981238228
5980000000,-1.470951514,,-1.327204533,,-0.999096089
6000000000,-1.490442548,,-1.341564511,,-1.016489977
6020000000,-1.509128619,,-1.355120063,,-1.033394771
6040000000,-1.526991318,,-1.367859406,,-1.049786199
6060000000,-1.544013218,,-1.379771634,,-1.065640816
6080000000,-1.560177833,,-1.390846697,,-1.080935991
6100000000,-1.575469587,,-1.401075371,,-1.095649883
6120000000,-1.589873776,,-1.410449237,,-1.109761427
