Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
16.25,0.160828167,,16.25,0.152728632
16.275,0.064481031,,16.275,0.154165539
16.3,0.242496946,,16.3,0.155670666
16.325,0.07961195,,16.325,0.157244584
16.35,0.241819971,,16.35,0.158887794
16.375,0.147083236,,16.375,0.160600715
16.4,0.139477001,,16.4,0.162383659
16.425,0.28074849,,16.425,0.164236814
16.45,0.15206793,,16.45,0.166160217
16.475,0.313959002,,16.475,0.168153732
16.5,0.221656019,,16.5,0.170217018
16.525,0.276223089,,16.525,0.172349503
16.55,0.285819351,,16.55,0.17455035
16.575,0.328765067,,16.575,0.176818426
16.6,0.277356721,,16.6,0.179152263
16.625,0.408162677,,16.625,0.181550026
16.65,0.258322995,,16.65,0.184009472
16.675,0.448393988,,16.675,0.186527914
16.7,0.312442742,,16.7,0.189102185
16.725,0.402921744,,16.725,0.191728597
16.75,0.402682042,,16.75,0.194402911
16.775,0.343526431,,16.775,0.197120306
16.8,0.463673921,,16.8,0.199875348
16.825,0.311395261,,16.825,0.202661972
16.85,0.442596666,,16.85,0.205473472
16.875,0.324278784,,16.875,0.208302491
16.9,0.383307822,,16.9,0.211141035
16.925,0.346953258,,16.925,0.213980489
16.95,0.365904932,,16.95,0.21681166
16.975,0.307709902,,16.975,0.219624823
17,0.350893785,,17,0.222409803
17.025,0.222237232,,17.025,0.225156063
17.05,0.331873768,,17.05,0.227852825
17.075,0.196806319,,17.075,0.230489206
17.1,0.303614389,,17.1,0.233054383
17.125,0.215817641,,17.125,0.235537784
17.15,0.210893845,,17.15,0.237929289
17.175,0.230146729,,17.175,0.240219471
17.2,0.11453685,,17.2,0.24239984
17.225,0.265352077,,17.225,0.244463114
17.25,0.087641286,,17.25,0.246403499
17.275,0.239123161,,17.275,0.248216988
17.3,0.095319471,,17.3,0.249901662
17.325,0.228445114,,17.325,0.251458
17.35,0.11813387,,17.35,0.252889202
17.375,0.210314442,,17.375,0.254201513
17.4,0.046926819,,17.4,0.255404566
17.425,0.162867783,,17.425,0.256511736
17.45,0.147819309,,17.45,0.257540528
17.475,0.068205983,,17.475,0.258513004
17.5,0.29386026,,17.5,0.259456279
17.525,-0.047277438,,17.525,0.260403106
17.55,0.298010235,,17.55,0.261392587
17.575,0.042290036,,17.575,0.262471062
17.6,0.134641706,,17.6,0.263693237
17.625,0.17549413,,17.625,0.265123625
17.65,0.092771619,,17.65,0.266838414
17.675,0.123497979,,17.675,0.26892789
17.7,0.230391535,,17.7,0.271499598
17.725,0.096972913,,17.725,0.274682475
17.75,0.219056495,,17.75,0.278632265
17.775,0.288315455,,17.775,0.283538635
17.8,0.00766305,,17.8,0.289634499
17.825,0.450845006,,17.825,0.297208261
17.85,0.009479399,,17.85,0.30661976
17.875,0.396002571,,17.875,0.318320863
17.9,0.32411899,,17.9,0.332881462
17.925,0.235665387,,17.925,0.351020946
17.95,0.561526843,,17.95,0.373643079
17.975,0.376576828,,17.975,0.401866813
18,0.678293071,,18,0.437033127
18.025,0.669953317,,18.025,0.480641032
18.05,0.758496829,,18.05,0.534111893
18.075,0.582803755,,18.075,0.598185587
18.1,0.193030154,,18.1,0.671622397
18.125,-0.566923383,,18.125,0.748831061
18.15,-1.075379196,,18.15,0.816414858
18.175,-1.139865142,,18.175,0.849891024
18.2,-0.973378256,,18.2,0.813342703
18.225,-0.291302679,,18.225,0.663061462
18.25,-0.335977901,,18.25,0.34948599
18.275,0.164700045,,18.275,-0.184806087
18.3,-0.070608922,,18.3,-0.950771575
18.325,0.166545023,,18.325,-1.673846672
18.35,0.138572069,,18.35,-1.817151044
18.375,0.08477711,,18.375,-1.342698272
18.4,0.264905917,,18.4,-0.76433089
18.425,-3.53E-04,,18.425,-0.372589781
18.45,0.250952921,,18.45,-0.14857972
18.475,0.003714336,,18.475,-0.023403268
18.5,0.193682952,,18.5,0.047687209
18.525,0.019039796,,18.525,0.088859904
18.55,0.158748205,,18.55,0.112976966
18.575,0.07746587,,18.575,0.127063242
18.6,0.111159813,,18.6,0.135089295
18.625,0.184419167,,18.625,0.139375437
18.65,-0.036809276,,18.65,0.141318545
18.675,0.270415854,,18.675,0.141781383
18.7,-0.053931582,,18.7,0.141308431
18.725,0.261067316,,18.725,0.140249453
18.75,0.075974306,,18.75,0.138832303
18.775,0.128661136,,18.775,0.137206979
18.8,0.201885326,,18.8,0.135472875
18.825,0.103557174,,18.825,0.133696019
18.85,0.118346913,,18.85,0.131920148
18.875,0.120357656,,18.875,0.130173972
18.9,0.11725407,,18.9,0.128475973
18.925,-0.031311856,,18.925,0.126837651
18.95,0.293141838,,18.95,0.125265714
18.975,-0.153915527,,18.975,0.123763591
19,0.253416193,,19,0.122332472
19.025,0.002616844,,19.025,0.120972038
19.05,-0.071535097,,19.05,0.119680966
19.075,0.306682712,,19.075,0.11845729
19.1,-0.18006695,,19.1,0.117298651
19.125,0.209962458,,19.125,0.116202473
19.15,0.008859379,,19.15,0.115166089
19.175,0.021891995,,19.175,0.114186824
19.2,0.163211968,,19.2,0.113262058
19.225,0.055650717,,19.225,0.112389261
19.25,0.056814478,,19.25,0.111566023
19.275,0.133994608,,19.275,0.110790071
19.3,0.033017684,,19.3,0.110059274
19.325,0.021279983,,19.325,0.109371649
19.35,0.171598675,,19.35,0.108725361
19.375,-0.085312824,,19.375,0.108118724
19.4,0.189501286,,19.4,0.107550194
19.425,-0.074229606,,19.425,0.107018366
19.45,0.057028549,,19.45,0.106521967
19.475,0.053339767,,19.475,0.106059856
19.5,-0.034744833,,19.5,0.105631011
19.525,0.133588841,,19.525,0.105234531
19.55,-0.122556568,,19.55,0.104869627
19.575,0.110637857,,19.575,0.104535617
19.6,-0.105325326,,19.6,0.104231923
19.625,0.042520457,,19.625,0.10395807
19.65,-0.009502985,,19.65,0.103713676
19.675,-0.043932591,,19.675,0.103498455
19.7,0.085782295,,19.7,0.103312213
19.725,-0.053521044,,19.725,0.103154845
19.75,0.056247865,,19.75,0.103026335
19.775,-0.049364035,,19.775,0.102926754
19.8,0.040199114,,19.8,0.102856262
19.825,-0.075978248,,19.825,0.102815107
19.85,0.072845687,,19.85,0.102803625
19.875,-0.076799995,,19.875,0.102822244
19.9,0.020793986,,19.9,0.102871484
19.925,-0.00232992,,19.925,0.102951962
19.95,-0.113834043,,19.95,0.103064393
19.975,0.067503577,,19.975,0.103209595
20,0.633650377,,20,0.103290498
