Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
4,0.181039486,,4,0.178459109
4.02,0.040934866,,4.02,0.17942521
4.04,0.23898637,,4.04,0.180404687
4.06,0.245557361,,4.06,0.181396098
4.08,0.058179091,,4.08,0.182397965
4.1,0.154420985,,4.1,0.183408771
4.12,0.256454588,,4.12,0.184426962
4.14,0.112639507,,4.14,0.185450942
4.16,0.092607939,,4.16,0.186479078
4.18,0.238225867,,4.18,0.187509693
4.2,0.208162734,,4.2,0.18854107
4.22,0.11742561,,4.22,0.189571456
4.24,0.176266621,,4.24,0.190599058
4.26,0.250511788,,4.26,0.191622046
4.28,0.145743306,,4.28,0.192638561
4.3,0.115388846,,4.3,0.193646711
4.32,0.26072726,,4.32,0.194644578
4.34,0.192256792,,4.34,0.195630225
4.36,0.10608962,,4.36,0.196601696
4.38,0.239055488,,4.38,0.197557024
4.4,0.213652333,,4.4,0.198494238
4.42,0.108547275,,4.42,0.199411367
4.44,0.183187118,,4.44,0.200306449
4.46,0.240143819,,4.46,0.201177537
4.48,0.177695705,,4.48,0.202022708
4.5,0.171573595,,4.5,0.20284007
4.52,0.244504567,,4.52,0.203627771
4.54,0.231282509,,4.54,0.20438401
4.56,0.177007926,,4.56,0.20510704
4.58,0.217446005,,4.58,0.205795182
4.6,0.252429802,,4.6,0.206446832
4.62,0.18336697,,4.62,0.20706047
4.64,0.176520395,,4.64,0.207634669
4.66,0.252141655,,4.66,0.208168099
4.68,0.227247339,,4.68,0.208659544
4.7,0.189295071,,4.7,0.209107897
4.72,0.232856575,,4.72,0.20951218
4.74,0.245586521,,4.74,0.209871539
4.76,0.211895785,,4.76,0.210185257
4.78,0.213230965,,4.78,0.210452753
4.8,0.242285672,,4.8,0.210673591
4.82,0.236867264,,4.82,0.21084748
4.84,0.212695711,,4.84,0.210974277
4.86,0.230515402,,4.86,0.211053986
4.88,0.247100529,,4.88,0.211086762
4.9,0.221887864,,4.9,0.211072907
4.92,0.217730101,,4.92,0.211012869
4.94,0.242927103,,4.94,0.210907241
4.96,0.233994482,,4.96,0.210756754
4.98,0.215948779,,4.98,0.210562275
5,0.228985891,,5,0.210454155
5,0.132776571,,5,0.210214665
5.025,0.10342063,,5.025,0.210029341
5.05,0.121398121,,5.05,0.209623348
5.075,0.128437421,,5.075,0.209148015
5.1,0.165140024,,5.1,0.208606184
5.125,0.181929138,,5.125,0.208000953
5.15,0.196146609,,5.15,0.207335654
5.175,0.219721745,,5.175,0.206613821
5.2,0.221487812,,5.2,0.205839162
5.225,0.236375326,,5.225,0.205015527
5.25,0.231964459,,5.25,0.204146884
5.275,0.249100411,,5.275,0.203237283
5.3,0.236164043,,5.3,0.202290836
5.325,0.242262917,,5.325,0.201311683
5.35,0.241471125,,5.35,0.200303971
5.375,0.212632161,,5.375,0.199271833
5.4,0.242279705,,5.4,0.198219359
5.425,0.207209101,,5.425,0.197150586
5.45,0.218220741,,5.45,0.196069474
5.475,0.215253093,,5.475,0.194979895
5.5,0.193327781,,5.5,0.193885619
5.525,0.199101323,,5.525,0.192790304
5.55,0.214798727,,5.55,0.191697488
5.575,0.160301427,,5.575,0.190610584
5.6,0.219731494,,5.6,0.189532872
5.625,0.16752885,,5.625,0.188467501
5.65,0.165336289,,5.65,0.187417488
5.675,0.200670674,,5.675,0.186385716
5.7,0.117952736,,5.7,0.185374938
5.725,0.206429532,,5.725,0.184387783
5.75,0.141987521,,5.75,0.183426758
5.775,0.160178226,,5.775,0.182494255
5.8,0.15596741,,5.8,0.18159256
5.825,0.161843873,,5.825,0.180723856
5.85,0.111972342,,5.85,0.179890239
5.875,0.18659829,,5.875,0.179093719
5.9,0.121226087,,5.9,0.178336236
5.925,0.136518973,,5.925,0.177619669
5.95,0.187548572,,5.95,0.176945845
5.975,0.054275637,,5.975,0.176316554
6,0.221565915,,6,0.175733559
6.025,0.100005171,,6.025,0.175198606
6.05,0.141143622,,6.05,0.174713442
6.075,0.147660585,,6.075,0.174279826
6.1,0.139263287,,6.1,0.173899544
6.125,0.101366207,,6.125,0.173574421
6.15,0.176698496,,6.15,0.173306341
6.175,0.121631073,,6.175,0.173097261
6.2,0.103003968,,6.2,0.172949229
6.225,0.207982524,,6.225,0.172864402
6.25,0.001272411,,6.25,0.172845069
6.275,0.250939041,,6.275,0.172893669
6.3,0.084228754,,6.3,0.173012815
6.325,0.133199362,,6.325,0.173205323
6.35,0.139814083,,6.35,0.173474235
6.375,0.10787001,,6.375,0.173822855
6.4,0.123346879,,6.4,0.174254776
6.425,0.121809555,,6.425,0.174773926
6.45,0.164430079,,6.45,0.175384603
