fre,l6=16mm,l6=17mm,l6=18mm,,l6=16mm,l6=17mm,l6=18mm,,,l6=16mm,l6=17mm,l6=18mm
Frequency,GD,GD,GD,,GD(ns),GD(ns),GD(ns),,Frequency,Angle,Angle,Angle
1.88,1.43E-10,1.53E-10,1.69E-10,,0.143161048,0.152600822,0.168895598,,1.88,-118.148604,-119.8778512,-122.1614802
1.9,1.43E-10,1.53E-10,1.71E-10,,0.143394553,0.153426725,0.171069605,,1.9,-119.1801154,-120.9793674,-123.3849123
1.92,1.44E-10,1.54E-10,1.74E-10,,0.1436786,0.154358588,0.17350459,,1.92,-120.2134855,-122.087196,-124.6248825
1.94,1.44E-10,1.55E-10,1.76E-10,,0.144015849,0.155405635,0.176233273,,1.94,-121.2490873,-123.2021311,-125.8833784
1.96,1.44E-10,1.57E-10,1.79E-10,,0.144409253,0.15657829,0.179294058,,1.96,-122.2873137,-124.3250371,-127.1626417
1.98,1.45E-10,1.58E-10,1.83E-10,,0.14486209,0.157888377,0.182732185,,1.98,-123.3285805,-125.4568584,-128.4652129
2,1.45E-10,1.59E-10,1.87E-10,,0.145378009,0.159349343,0.186601144,,2,-124.3733278,-126.5986298,-129.7939851
2.02,1.46E-10,1.61E-10,1.91E-10,,0.145961075,0.160976536,0.190964415,,2.02,-125.4220238,-127.751489,-131.1522693
2.04,1.47E-10,1.63E-10,1.96E-10,,0.146615821,0.16278753,0.195897635,,2.04,-126.4751673,-128.9166919,-132.5438727
2.06,1.47E-10,1.65E-10,2.01E-10,,0.147347312,0.164802525,0.201491327,,2.06,-127.5332916,-130.0956294,-133.9731953
2.08,1.48E-10,1.67E-10,2.08E-10,,0.148161219,0.167044828,0.207854377,,2.08,-128.5969686,-131.2898482,-135.4453478
2.1,1.49E-10,1.70E-10,2.15E-10,,0.149063899,0.169541428,0.215118502,,2.1,-129.6668132,-132.5010749,-136.9662983
2.12,1.50E-10,1.72E-10,2.23E-10,,0.150062496,0.172323719,0.223444045,,2.12,-130.7434888,-133.7312448,-138.5430543
2.14,1.51E-10,1.75E-10,2.33E-10,,0.151165056,0.175428362,0.233027531,,2.14,-131.8277131,-134.9825365,-140.1838925
2.16,1.52E-10,1.79E-10,2.44E-10,,0.152380659,0.178898371,0.244111557,,2.16,-132.9202656,-136.2574132,-141.8986507
2.18,1.54E-10,1.83E-10,2.57E-10,,0.153719581,0.182784441,0.256997772,,2.18,-134.0219946,-137.558673,-143.699099
2.2,1.55E-10,1.87E-10,2.72E-10,,0.155193477,0.18714662,0.272063941,,2.2,-135.1338275,-138.8895092,-145.5994186
2.22,1.57E-10,1.92E-10,2.90E-10,,0.156815608,0.192056396,0.289786364,,2.22,-136.2567807,-140.2535844,-147.6168197
2.24,1.59E-10,1.98E-10,3.11E-10,,0.158601103,0.197599338,0.31076922,,2.24,-137.3919723,-141.6551213,-149.7723422
2.26,1.61E-10,2.04E-10,3.36E-10,,0.160567278,0.203878449,0.335782595,,2.26,-138.5406366,-143.0990148,-152.0918965
2.28,1.63E-10,2.11E-10,3.66E-10,,0.162734013,0.211018453,0.365810686,,2.28,-139.7041411,-144.590971,-154.6076116
2.3,1.65E-10,2.19E-10,4.02E-10,,0.165124218,0.2191713,0.402110257,,2.3,-140.8840064,-146.1376805,-157.3595704
2.32,1.68E-10,2.29E-10,4.46E-10,,0.167764382,0.228523294,0.446274924,,2.32,-142.0819298,-147.7470377,-160.3979993
2.34,1.71E-10,2.39E-10,5.00E-10,,0.170685259,0.239304353,0.500289554,,2.34,-143.2998135,-149.428416,-163.7859293
2.36,1.74E-10,2.52E-10,5.67E-10,,0.173922692,0.251800098,0.566532693,,2.36,-144.5397975,-151.1930204,-167.6021689
2.38,1.78E-10,2.66E-10,6.48E-10,,0.177518634,0.266367677,0.647628626,,2.38,-145.8043002,-153.0543374,-171.9440001
2.4,1.82E-10,2.83E-10,7.46E-10,,0.181522415,0.283456482,0.745942082,,2.4,-147.0960659,-155.0287149,-176.9280211
2.42,1.86E-10,3.04E-10,8.62E-10,,0.185992302,0.30363518,0.862336476,,2.42,-148.418223,-157.1361107,-182.685566
2.44,1.91E-10,3.28E-10,9.94E-10,,0.190997463,0.327626563,0.993658588,,2.44,-149.774355,-159.4010615,-189.3456664
2.46,1.97E-10,3.56E-10,1.13E-09,,0.196620425,0.356351454,1.128614632,,2.46,-151.1685865,-161.8539332,-196.9942497
2.48,2.03E-10,3.91E-10,1.24E-09,,0.20296018,0.390981338,1.242896032,,2.48,-152.6056892,-164.5325224,-205.5977171
2.5,2.10E-10,4.33E-10,1.30E-09,,0.21013613,0.43299493,1.296066541,,2.5,-154.0912131,-167.4840645,-214.8919526
