Frequency,HFSS,,,Frequency,Measurement
,mag,,,,Mag
3.44,-3.72765902,,,3.44E+09,-4.80785
3.46,-3.66812271,,,3.46E+09,-4.76265
3.48,-3.608905504,,,3.48E+09,-4.39279
3.5,-3.549959745,,,3.50E+09,-4.4711
3.52,-3.491243683,,,3.52E+09,-4.59577
3.54,-3.432720925,,,3.54E+09,-4.33108
3.56,-3.374359968,,,3.56E+09,-4.22091
3.58,-3.316133777,,,3.58E+09,-4.33339
3.6,-3.258019428,,,3.60E+09,-4.2391
3.62,-3.199997789,,,3.62E+09,-4.01332
3.64,-3.142053238,,,3.64E+09,-4.07087
3.66,-3.08417342,,,3.66E+09,-4.15224
3.68,-3.026349027,,,3.68E+09,-3.92577
3.7,-2.96857361,,,3.70E+09,-3.77695
3.72,-2.910843403,,,3.72E+09,-3.89566
3.74,-2.853157179,,,3.74E+09,-3.81905
3.76,-2.795516109,,,3.76E+09,-3.58441
3.78,-2.737923647,,,3.78E+09,-3.66746
3.8,-2.680385417,,,3.80E+09,-3.71033
3.82,-2.62290912,,,3.82E+09,-3.48819
3.84,-2.565504445,,,3.84E+09,-3.4335
3.86,-2.508182986,,,3.86E+09,-3.49552
3.88,-2.450958173,,,3.88E+09,-3.41434
3.9,-2.393845201,,,3.90E+09,-3.27791
3.92,-2.336860965,,,3.92E+09,-3.27026
3.94,-2.280024002,,,3.94E+09,-3.27322
3.96,-2.223354434,,,3.96E+09,-3.0962
3.98,-2.166873912,,,3.98E+09,-2.96353
4,-2.110605559,,,4.00E+09,-3.00973
4.02,-2.054573921,,,4.02E+09,-2.91108
4.04,-1.998804909,,,4.04E+09,-2.72012
4.06,-1.943325746,,,4.06E+09,-2.76287
4.08,-1.888164912,,,4.08E+09,-2.75021
4.1,-1.833352087,,,4.10E+09,-2.56469
4.12,-1.77891809,,,4.12E+09,-2.53803
4.14,-1.724894817,,,4.14E+09,-2.54834
4.16,-1.671315177,,,4.16E+09,-2.41079
4.18,-1.618213023,,,4.18E+09,-2.27928
4.2,-1.565623082,,,4.20E+09,-2.26713
4.22,-1.513580874,,,4.22E+09,-2.22751
4.24,-1.462122638,,,4.24E+09,-2.07636
4.26,-1.411285244,,,4.26E+09,-2.03253
4.28,-1.361106106,,,4.28E+09,-2.04724
4.3,-1.311623089,,,4.30E+09,-1.91126
4.32,-1.262874409,,,4.32E+09,-1.81206
4.34,-1.214898532,,,4.34E+09,-1.83411
4.36,-1.167734071,,,4.36E+09,-1.74665
4.38,-1.121419669,,,4.38E+09,-1.62581
4.4,-1.075993888,,,4.40E+09,-1.63927
4.42,-1.031495091,,,4.42E+09,-1.59392
4.44,-0.987961319,,,4.44E+09,-1.44592
4.46,-0.945430165,,,4.46E+09,-1.38711
4.48,-0.903938649,,,4.48E+09,-1.35368
4.5,-0.863523087,,,4.50E+09,-1.24895
4.52,-0.824218965,,,4.52E+09,-1.15295
4.54,-0.7860608,,,4.54E+09,-1.12786
4.56,-0.749082018,,,4.56E+09,-1.08664
4.58,-0.713314819,,,4.58E+09,-0.99192
4.6,-0.678790049,,,4.60E+09,-0.96092
4.62,-0.645537077,,,4.62E+09,-0.95715
4.64,-0.613583668,,,4.64E+09,-0.86853
4.66,-0.582955871,,,4.66E+09,-0.79579
