Frequency,GD,GD(ns)
17.3,2.50E-10,0.250224798
17.32,2.52E-10,0.25154589
17.34,2.53E-10,0.252766487
17.36,2.54E-10,0.253887347
17.38,2.55E-10,0.254910546
17.4,2.56E-10,0.255839572
17.42,2.57E-10,0.256679425
17.44,2.57E-10,0.257436716
17.46,2.58E-10,0.258119767
17.48,2.59E-10,0.25873871
17.5,2.59E-10,0.2593056
17.52,2.60E-10,0.259834537
17.54,2.60E-10,0.260341803
17.56,2.61E-10,0.260846029
17.58,2.61E-10,0.261368388
17.6,2.62E-10,0.261932839
17.62,2.63E-10,0.262566423
17.64,2.63E-10,0.263299627
17.66,2.64E-10,0.264166846
17.68,2.65E-10,0.265206949
17.7,2.66E-10,0.266463987
17.72,2.68E-10,0.267988081
17.74,2.70E-10,0.269836515
17.76,2.72E-10,0.272075109
17.78,2.75E-10,0.274779924
17.8,2.78E-10,0.278039377
17.82,2.82E-10,0.281956889
17.84,2.87E-10,0.286654162
17.86,2.92E-10,0.292275263
17.88,2.99E-10,0.298991677
17.9,3.07E-10,0.307008527
17.92,3.17E-10,0.316572178
17.94,3.28E-10,0.327979354
17.96,3.42E-10,0.341587798
17.98,3.58E-10,0.357828134
18,3.77E-10,0.377215847
18.02,4.00E-10,0.400360836
18.04,4.28E-10,0.427969166
18.06,4.61E-10,0.460826452
18.08,5.00E-10,0.499743262
18.1,5.45E-10,0.54542818
18.12,5.98E-10,0.598232999
18.14,6.58E-10,0.657691554
18.16,7.22E-10,0.72176854
18.18,7.86E-10,0.785795548
18.2,8.41E-10,0.841270609
18.22,8.75E-10,0.875046311
18.24,8.70E-10,0.869669662
18.26,8.05E-10,0.805130667
18.28,6.61E-10,0.660664996
18.3,4.14E-10,0.413811289
18.32,3.61E-11,0.036087011
18.34,-5.03E-10,-0.503151847
18.36,-1.18E-09,-1.181759499
18.38,-1.79E-09,-1.79046174
18.4,-1.97E-09,-1.97164971
18.42,-1.64E-09,-1.643412664
18.44,-1.12E-09,-1.117480487
18.46,-6.75E-10,-0.674893051
18.48,-3.77E-10,-0.376672545
18.5,-1.89E-10,-0.18865426
18.52,-7.09E-11,-0.070910572
18.54,3.74E-12,0.003738406
18.56,5.18E-11,0.05181512
18.58,8.32E-11,0.083189513
18.6,1.04E-10,0.103831207
18.62,1.17E-10,0.117429834
18.64,1.26E-10,0.126320014
18.66,1.32E-10,0.132012664
18.68,1.36E-10,0.135506009
18.7,1.37E-10,0.137471845
18.72,1.38E-10,0.13836973
18.74,1.39E-10,0.13851856
18.76,1.38E-10,0.138142383
18.78,1.37E-10,0.137400294
18.8,1.36E-10,0.13640628
18.82,1.35E-10,0.135242607
18.84,1.34E-10,0.133968984
18.86,1.33E-10,0.132628924
18.88,1.31E-10,0.131254202
18.9,1.30E-10,0.129868025
18.92,1.28E-10,0.128487303
18.94,1.27E-10,0.127124291
18.96,1.26E-10,0.125787787
18.98,1.24E-10,0.124484014
19,1.23E-10,0.123217271
19.02,1.22E-10,0.12199042
19.04,1.21E-10,0.120805245
19.06,1.20E-10,0.119662728
19.08,1.19E-10,0.118563258
19.1,1.18E-10,0.117506779
19.12,1.16E-10,0.116492918
19.14,1.16E-10,0.115521069
19.16,1.15E-10,0.114590463
19.18,1.14E-10,0.113700224
19.2,1.13E-10,0.112849403
19.22,1.12E-10,0.112037015
19.24,1.11E-10,0.111262056
19.26,1.11E-10,0.110523526
19.28,1.10E-10,0.109820437
19.3,1.09E-10,0.109151828
19.32,1.09E-10,0.108516766
19.34,1.08E-10,0.107914355
19.36,1.07E-10,0.107343742
19.38,1.07E-10,0.106804113
19.4,1.06E-10,0.1062947
19.42,1.06E-10,0.105814779
19.44,1.05E-10,0.105363672
19.46,1.05E-10,0.104940745
19.48,1.05E-10,0.10454541
19.5,1.04E-10,0.104177124
19.52,1.04E-10,0.103835389
19.54,1.04E-10,0.103519748
19.56,1.03E-10,0.103229789
19.58,1.03E-10,0.102965141
19.6,1.03E-10,0.102725475
19.62,1.03E-10,0.102510505
19.64,1.02E-10,0.102319984
19.66,1.02E-10,0.102153704
19.68,1.02E-10,0.1020115
19.7,1.02E-10,0.101893245
19.72,1.02E-10,0.10179885
19.74,1.02E-10,0.101728269
19.76,1.02E-10,0.101681494
19.78,1.02E-10,0.101658555
19.8,1.02E-10,0.101659526
19.82,1.02E-10,0.101684517
19.84,1.02E-10,0.101733682
19.86,1.02E-10,0.101807216
19.88,1.02E-10,0.101905356
19.9,1.02E-10,0.102028384
19.92,1.02E-10,0.102176625
19.94,1.02E-10,0.10235045
19.96,1.03E-10,0.102550276
19.98,1.03E-10,0.102776572
20,1.03E-10,0.102896398
