Frequency,GD,GD(ns)
4.74,2.09E-10,0.209356441
4.76,2.10E-10,0.209733531
4.78,2.10E-10,0.210065706
4.8,2.10E-10,0.210352311
4.82,2.11E-10,0.210592835
4.84,2.11E-10,0.210786904
4.86,2.11E-10,0.210934291
4.88,2.11E-10,0.211034911
4.9,2.11E-10,0.211088827
4.92,2.11E-10,0.21109625
4.94,2.11E-10,0.211057533
4.96,2.11E-10,0.210973172
4.98,2.11E-10,0.210843803
5,2.11E-10,0.210767955
5,2.10E-10,0.209945653
5.02,2.10E-10,0.209795171
5.04,2.09E-10,0.209471396
5.06,2.09E-10,0.209102703
5.08,2.09E-10,0.208690558
5.1,2.08E-10,0.208236535
5.12,2.08E-10,0.207742308
5.14,2.07E-10,0.207209639
5.16,2.07E-10,0.206640373
5.18,2.06E-10,0.206036422
5.2,2.05E-10,0.20539976
5.22,2.05E-10,0.204732412
5.24,2.04E-10,0.204036442
5.26,2.03E-10,0.203313948
5.28,2.03E-10,0.202567047
5.3,2.02E-10,0.201797872
5.32,2.01E-10,0.201008559
5.34,2.00E-10,0.200201241
5.36,1.99E-10,0.19937804
5.38,1.99E-10,0.19854106
5.4,1.98E-10,0.197692383
5.42,1.97E-10,0.196834059
5.44,1.96E-10,0.195968103
5.46,1.95E-10,0.19509649
5.48,1.94E-10,0.194221152
5.5,1.93E-10,0.193343975
5.52,1.92E-10,0.192466791
5.54,1.92E-10,0.191591383
5.56,1.91E-10,0.190719479
5.58,1.90E-10,0.18985275
5.6,1.89E-10,0.188992812
5.62,1.88E-10,0.188141226
5.64,1.87E-10,0.187299493
5.66,1.86E-10,0.18646906
5.68,1.86E-10,0.185651319
5.7,1.85E-10,0.184847608
5.72,1.84E-10,0.184059212
5.74,1.83E-10,0.183287365
5.76,1.83E-10,0.182533254
5.78,1.82E-10,0.181798018
5.8,1.81E-10,0.181082753
5.82,1.80E-10,0.180388515
5.84,1.80E-10,0.179716319
5.86,1.79E-10,0.179067148
5.88,1.78E-10,0.178441951
5.9,1.78E-10,0.177841647
5.92,1.77E-10,0.177267134
5.94,1.77E-10,0.176719284
5.96,1.76E-10,0.176198951
5.98,1.76E-10,0.175706977
6,1.75E-10,0.175244192
6.02,1.75E-10,0.174811418
6.04,1.74E-10,0.174409476
6.06,1.74E-10,0.174039187
6.08,1.74E-10,0.173701379
6.1,1.73E-10,0.173396889
6.12,1.73E-10,0.173126569
6.14,1.73E-10,0.172891291
6.16,1.73E-10,0.172691949
6.18,1.73E-10,0.172529469
6.2,1.72E-10,0.172404811
6.22,1.72E-10,0.172318974
6.24,1.72E-10,0.172273005
6.26,1.72E-10,0.172268003
6.28,1.72E-10,0.172305125
6.3,1.72E-10,0.172385595
6.32,1.73E-10,0.172510711
6.34,1.73E-10,0.172681854
6.36,1.73E-10,0.172900493
6.38,1.73E-10,0.173168198
6.4,1.73E-10,0.173486649
6.42,1.74E-10,0.173857648
6.44,1.74E-10,0.174283128
6.46,1.75E-10,0.174765169
6.48,1.75E-10,0.17530601
6.5,1.76E-10,0.175908067
6.52,1.77E-10,0.176573948
6.54,1.77E-10,0.177306472
6.56,1.78E-10,0.178108688
6.58,1.79E-10,0.178983902
6.6,1.80E-10,0.1799357
6.62,1.81E-10,0.180967972
6.64,1.82E-10,0.182084947
6.66,1.83E-10,0.183291228
6.68,1.85E-10,0.184591824
6.7,1.86E-10,0.185992199
6.72,1.87E-10,0.187498311
6.74,1.89E-10,0.189116671
6.76,1.91E-10,0.190854398
6.78,1.93E-10,0.192719282
6.8,1.95E-10,0.194719859
6.82,1.97E-10,0.196865487
6.84,1.99E-10,0.199166444
6.86,2.02E-10,0.201634017
6.88,2.04E-10,0.204280624
6.9,2.07E-10,0.207119933
6.92,2.10E-10,0.210167001
6.94,2.13E-10,0.21343843
6.96,2.17E-10,0.216952537
6.98,2.21E-10,0.22072954
7,2.25E-10,0.224791771
7.02,2.29E-10,0.229163898
7.04,2.34E-10,0.233873171
7.06,2.39E-10,0.238949687
7.08,2.44E-10,0.244426666
7.1,2.50E-10,0.250340738
7.12,2.57E-10,0.25673223
7.14,2.64E-10,0.263645436
7.16,2.71E-10,0.271128856
7.18,2.79E-10,0.279235367
7.2,2.88E-10,0.288022278
7.22,2.98E-10,0.297551221
7.24,3.08E-10,0.307887767
7.26,3.19E-10,0.31910067
7.28,3.31E-10,0.331260554
7.3,3.44E-10,0.344437848
7.32,3.59E-10,0.358699662
7.34,3.74E-10,0.374105266
7.36,3.91E-10,0.390699721
7.38,4.09E-10,0.40850516
7.4,4.28E-10,0.42750916
7.42,4.48E-10,0.447649681
7.44,4.69E-10,0.468796191
7.46,4.91E-10,0.490726953
7.48,5.13E-10,0.513102993
7.5,5.35E-10,0.535440182
7.52,5.57E-10,0.55708179
7.54,5.77E-10,0.577174686
7.56,5.95E-10,0.594652058
7.58,6.08E-10,0.608222986
7.6,6.16E-10,0.616362375
7.62,6.17E-10,0.61728112
7.64,6.09E-10,0.608831418
7.66,5.88E-10,0.588256219
7.68,5.52E-10,0.551597215
7.7,4.92E-10,0.492349861
7.72,3.98E-10,0.398335214
7.74,2.44E-10,0.243852407
7.76,-3.24E-11,-0.032363256
7.78,-5.96E-10,-0.596048638
7.8,-1.89E-09,-1.892639278
7.82,-4.06E-09,-4.058286476
7.84,-4.62E-09,-4.616732131
7.86,-2.76E-09,-2.755583074
7.88,-1.08E-09,-1.080172155
7.9,-3.58E-10,-0.358161818
7.92,-4.49E-11,-0.044902811
7.94,1.07E-10,0.107438359
7.96,1.88E-10,0.18795194
7.98,2.33E-10,0.232578846
8,2.58E-10,0.257722047
8.02,2.72E-10,0.271642
8.04,2.79E-10,0.27882591
8.06,2.82E-10,0.281857317
8.08,2.82E-10,0.282291828
8.1,2.81E-10,0.28109885
8.12,2.79E-10,0.278898398
8.14,2.76E-10,0.276094629
8.16,2.73E-10,0.272954397
8.18,2.70E-10,0.269655121
8.2,2.66E-10,0.266314844
8.22,2.63E-10,0.2630116
8.24,2.60E-10,0.259796136
8.26,2.57E-10,0.25670045
8.28,2.54E-10,0.253743586
