,l6=16mm,l6=17mm,l6=18mm
Frequency,mag,mag,mag
3.52,-2.970135557,-3.226968118,-3.430227308
3.54,-2.913073157,-3.169262983,-3.371545036
3.56,-2.856852967,-3.111886104,-3.313002534
3.58,-2.801345651,-3.054790516,-3.254576115
3.6,-2.746442522,-2.99793622,-3.196246039
3.62,-2.692052368,-2.941289457,-3.137996218
3.64,-2.638098867,-2.884822092,-3.079813953
3.66,-2.584518462,-2.828511086,-3.021689705
3.68,-2.531258609,-2.772338036,-2.963616895
3.7,-2.478276323,-2.716288773,-2.905591716
3.72,-2.425536971,-2.660353019,-2.847612984
3.74,-2.373013252,-2.604524082,-2.789681985
3.76,-2.320684349,-2.548798594,-2.731802356
3.78,-2.268535206,-2.493176279,-2.67397997
3.8,-2.216555919,-2.437659746,-2.616222828
3.82,-2.164741216,-2.382254308,-2.558540973
3.84,-2.113090009,-2.326967825,-2.500946402
3.86,-2.06160501,-2.271810554,-2.443452989
3.88,-2.010292402,-2.216795024,-2.386076411
3.9,-1.959161545,-2.161935915,-2.328834085
3.92,-1.908224729,-2.107249952,-2.271745099
3.94,-1.857496946,-2.052755808,-2.214830156
3.96,-1.806995693,-1.998474008,-2.158111513
3.98,-1.756740794,-1.944426845,-2.101612923
4,-1.706754237,-1.890638294,-2.045359579
4.02,-1.657060027,-1.837133937,-1.989378058
4.04,-1.60768405,-1.78394088,-1.933696259
4.06,-1.558653941,-1.73108768,-1.87834335
4.08,-1.509998965,-1.678604267,-1.823349702
4.1,-1.461749898,-1.626521868,-1.768746828
4.12,-1.413938913,-1.574872925,-1.714567318
4.14,-1.366599466,-1.523691022,-1.66084477
4.16,-1.319766189,-1.473010794,-1.607613715
4.18,-1.273474773,-1.42286785,-1.554909547
4.2,-1.22776186,-1.373298678,-1.502768435
4.22,-1.182664924,-1.324340559,-1.451227246
4.24,-1.138222157,-1.276031464,-1.400323453
4.26,-1.094472351,-1.228409961,-1.350095041
4.28,-1.051454769,-1.181515107,-1.300580414
4.3,-1.009209027,-1.135386339,-1.251818287
4.32,-0.967774957,-1.090063364,-1.203847583
4.34,-0.927192479,-1.04558604,-1.156707322
4.36,-0.887501462,-1.001994255,-1.110436502
4.38,-0.848741584,-0.959327802,-1.065073988
4.4,-0.810952189,-0.91762625,-1.020658379
4.42,-0.774172142,-0.876928814,-0.977227891
4.44,-0.738439678,-0.837274218,-0.934820224
4.46,-0.703792255,-0.798700559,-0.893472431
4.48,-0.670266405,-0.761245169,-0.853220788
4.5,-0.637897575,-0.724944473,-0.81410066
4.52,-0.606719983,-0.689833854,-0.776146367
4.54,-0.576766466,-0.655947506,-0.739391051
4.56,-0.54806833,-0.623318302,-0.703866545
4.58,-0.52065521,-0.591977658,-0.669603246
4.6,-0.494554921,-0.561955395,-0.636629982
4.62,-0.469793332,-0.533279614,-0.604973899
4.64,-0.446394228,-0.505976572,-0.574660335
4.66,-0.42437919,-0.480070563,-0.545712715
4.68,-0.40376748,-0.455583805,-0.518152443
4.7,-0.384575934,-0.432536338,-0.491998803
4.72,-0.366818865,-0.410945931,-0.467268873
4.74,-0.350507975,-0.390827992,-0.443977445
4.76,-0.335652283,-0.372195492,-0.422136949
4.78,-0.322258059,-0.355058905,-0.401757401
4.8,-0.310328774,-0.339426148,-0.382846347
4.82,-0.299865062,-0.325302545,-0.36540883
4.84,-0.290864693,-0.312690789,-0.34944736
4.86,-0.283322564,-0.301590934,-0.334961902
4.88,-0.277230698,-0.292000381,-0.321949873
4.9,-0.272578259,-0.283913891,-0.310406152
4.92,-0.269351582,-0.277323605,-0.300323102
4.94,-0.267534211,-0.272219073,-0.291690604
4.96,-0.267106955,-0.2685873,-0.284496099
4.98,-0.268047948,-0.266412803,-0.278724649
5,-0.270332731,-0.265677676,-0.274359001
5,-0.266767647,-0.264088293,-0.275685077
5.025,-0.272056627,-0.264751853,-0.271061371
5.05,-0.279545881,-0.26757878,-0.268586434
5.075,-0.289186478,-0.272520278,-0.268210225
5.1,-0.300924247,-0.279522288,-0.269877191
5.125,-0.314700131,-0.288525822,-0.27352662
5.15,-0.330450554,-0.299467327,-0.279093015
5.175,-0.348107808,-0.312279064,-0.286506481
5.2,-0.367600454,-0.326889498,-0.295693139
5.225,-0.38885373,-0.343223703,-0.306575541
5.25,-0.411789967,-0.361203771,-0.319073094
5.275,-0.436329001,-0.380749222,-0.333102485
5.3,-0.462388583,-0.401777412,-0.348578103
5.325,-0.489884781,-0.42420393,-0.365412449
5.35,-0.518732375,-0.44794299,-0.383516546
5.375,-0.548845226,-0.472907812,-0.402800323
5.4,-0.580136648,-0.499010978,-0.423172988
5.425,-0.612519744,-0.526164782,-0.444543387
5.45,-0.645907729,-0.554281552,-0.466820333
5.475,-0.680214236,-0.583273955,-0.489912918
5.5,-0.71535359,-0.613055281,-0.513730802
5.525,-0.751241068,-0.643539701,-0.53818448
5.55,-0.787793134,-0.674642505,-0.563185517
5.575,-0.824927643,-0.706280317,-0.58864677
5.6,-0.862564036,-0.738371288,-0.61448258
5.625,-0.900623503,-0.770835263,-0.640608936
5.65,-0.939029125,-0.803593934,-0.666943632
5.675,-0.977706002,-0.836570964,-0.693406383
5.7,-1.016581358,-0.869692099,-0.71991894
5.725,-1.05558462,-0.902885254,-0.746405166
5.75,-1.094647498,-0.93608059,-0.772791114
5.775,-1.133704027,-0.969210568,-0.799005071
5.8,-1.172690614,-1.00220999,-0.824977597
5.825,-1.211546058,-1.035016031,-0.850641546
5.85,-1.250211564,-1.067568248,-0.875932077
5.875,-1.288630747,-1.099808588,-0.900786648
5.9,-1.32674962,-1.131681383,-0.925145008
5.925,-1.364516579,-1.163133332,-0.948949172
5.95,-1.40188238,-1.19411348,-0.972143392
5.975,-1.438800104,-1.224573187,-0.994674122
6,-1.475225124,-1.254466094,-1.016489977
6.025,-1.511115063,-1.28374808,-1.037541686
6.05,-1.546429745,-1.312377218,-1.057782042
6.075,-1.581131149,-1.340313726,-1.077165853
6.1,-1.615183359,-1.367519917,-1.095649883
6.125,-1.648552506,-1.393960145,-1.113192801
6.15,-1.681206716,-1.41960075,-1.129755126
6.175,-1.713116055,-1.44441,-1.145299173
6.2,-1.744252472,-1.46835804,-1.159789
6.225,-1.774589742,-1.491416831,-1.17319036
6.25,-1.804103412,-1.513560095,-1.185470653
6.275,-1.832770744,-1.53476326,-1.196598888
6.3,-1.860570664,-1.555003406,-1.206545643
6.325,-1.887483703,-1.57425921,-1.215283038
6.35,-1.913491954,-1.592510896,-1.222784709
6.375,-1.938579013,-1.609740185,-1.229025803
6.4,-1.962729936,-1.625930245,-1.233982968
6.425,-1.985931191,-1.641065649,-1.237634368
6.45,-2.008170614,-1.655132324,-1.239959709
6.475,-2.029437362,-1.668117517,-1.240940282
6.5,-2.049721878,-1.680009752,-1.240559026
6.525,-2.069015848,-1.690798796,-1.238800618
6.55,-2.087312168,-1.700475625,-1.235651592
6.575,-2.104604903,-1.709032391,-1.231100487
6.6,-2.120889262,-1.716462399,-1.225138048
6.625,-2.136161563,-1.722760083,-1.217757464
6.65,-2.150419206,-1.727920984,-1.20895467
6.675,-2.163660647,-1.731941734,-1.198728724
6.7,-2.175885372,-1.734820044,-1.187082263
6.725,-2.18709388,-1.736554701,-1.17402207
6.75,-2.197287656,-1.737145558,-1.159559761
6.775,-2.206469158,-1.736593543,-1.143712632
6.8,-2.2146418,-1.734900666,-1.126504688
6.825,-2.221809939,-1.732070036,-1.107967908
6.85,-2.227978858,-1.728105881,-1.088143792
6.875,-2.233154765,-1.723013586,-1.067085259
6.9,-2.237344777,-1.716799729,-1.04485897
6.925,-2.240556916,-1.709472141,-1.021548203
6.95,-2.242800108,-1.701039966,-0.99725638
6.975,-2.244084178,-1.691513747,-0.972111441
7,-2.244419852,-1.680905527,-0.946271251
7.025,-2.243818756,-1.669228966,-0.919930331
7.05,-2.242293424,-1.656499492,-0.893328227
7.075,-2.239857303,-1.642734474,-0.866759969
7.1,-2.23652476,-1.627953434,-0.840589166
7.125,-2.232311094,-1.612178302,-0.815264428
7.15,-2.227232553,-1.595433721,-0.791340034
7.175,-2.221306345,-1.577747412,-0.769501956
7.2,-2.21455066,-1.559150624,-0.750600702
7.225,-2.206984694,-1.539678659,-0.735692769
7.25,-2.198628671,-1.519371526,-0.726092956
7.275,-2.189503876,-1.498274721,-0.72344028
7.3,-2.179632686,-1.476440186,-0.729780766
7.325,-2.169038611,-1.453927473,-0.747670868
7.35,-2.157746336,-1.430805173,-0.780305591
7.375,-2.145781772,-1.407152675,-0.83167529
7.4,-2.13317211,-1.383062335,-0.906754242
7.425,-2.119945888,-1.358642172,-1.011721976
7.45,-2.106133062,-1.33401922,-1.154214439
7.475,-2.091765089,-1.309343731,-1.343596129
7.5,-2.076875025,-1.284794461,-1.591237043
7.525,-2.061497628,-1.26058535,-1.910772697
7.55,-2.045669488,-1.23697403,-2.318328429
7.575,-2.029429169,-1.214272693,-2.832713732
7.6,-2.012817374,-1.192862086,-3.475657194
7.625,-1.995877137,-1.173209623,-4.272280507
7.65,-1.978654046,-1.155892982,-5.252226224
