Frequency,ADS,,,HFSS,,,Theory,
2380000000,3.13E-10,0.312974141,,6.33E-10,0.633178844,,1.57E-08,0.157483061
2400000000,3.60E-10,0.360479545,,7.27E-10,0.726603698,,1.78E-08,0.177557865
2420000000,4.26E-10,0.426139469,,8.37E-10,0.837302825,,2.05E-08,0.204905255
2440000000,5.19E-10,0.519476818,,9.63E-10,0.963045721,,2.43E-08,0.243252512
2460000000,6.56E-10,0.65593526,,1.09E-09,1.09482217,,2.99E-08,0.29880309
2480000000,8.60E-10,0.859648984,,1.21E-09,1.212562806,,3.82E-08,0.382119614
2500000000,1.16E-09,1.161578041,,1.28E-09,1.282276196,,5.11E-08,0.511056284
2520000000,1.57E-09,1.567148017,,1.26E-09,1.255086578,,7.13E-08,0.712512758
2540000000,1.92E-09,1.92441351,,1.05E-09,1.048468872,,1.01E-07,1.00543815
2560000000,1.77E-09,1.766168709,,3.52E-10,0.352272347,,1.29E-07,1.294287419
2580000000,6.22E-10,0.621797344,,-3.83E-09,-3.825864533,,1.13E-07,1.127690024
2600000000,-2.47E-09,-2.470383403,,-8.10E-09,-8.103285308,,-4.76E-08,-0.476058738
2620000000,-8.23E-09,-8.232429037,,-4.76E-09,-4.755231792,,-5.02E-07,-5.024873741
2640000000,-1.73E-09,-1.732585806,,-2.96E-10,-0.296127786,,-1.51E-07,-1.507899323
2660000000,-1.23E-10,-0.12339523,,2.76E-10,0.275527744,,-1.93E-08,-0.193162173
2680000000,1.85E-10,0.184975608,,3.87E-10,0.387466201,,7.13E-09,0.071308205
2700000000,2.51E-10,0.250697511,,4.01E-10,0.401057073,,1.33E-08,0.133060167
2720000000,2.57E-10,0.256770518,,3.87E-10,0.386619398,,1.44E-08,0.14425031
2740000000,2.47E-10,0.246807892,,3.64E-10,0.36437162,,1.41E-08,0.141243371
2760000000,2.33E-10,0.2333213,,3.41E-10,0.341172423,,1.35E-08,0.134515981
2780000000,2.20E-10,0.220165344,,3.19E-10,0.319435384,,1.27E-08,0.127366221
2800000000,2.08E-10,0.208453112,,3.00E-10,0.299912595,,1.21E-08,0.12082063
2820000000,1.98E-10,0.198376063,,2.83E-10,0.282704743,,1.15E-08,0.115134106
2840000000,1.90E-10,0.189821188,,2.68E-10,0.267662326,,1.10E-08,0.110296737
2860000000,1.83E-10,0.182591482,,2.55E-10,0.254552914,,1.06E-08,0.106215607
2880000000,1.76E-10,0.176484956,,2.43E-10,0.243131565,,1.03E-08,0.102781307
2900000000,1.71E-10,0.171320808,,2.33E-10,0.233169267,,9.99E-09,0.099891348
2920000000,1.67E-10,0.166945587,,2.24E-10,0.224462791,,9.75E-09,0.097457093
2940000000,1.63E-10,0.163232057,,2.17E-10,0.216836378,,9.54E-09,0.09540445
2960000000,1.60E-10,0.160075749,,2.10E-10,0.210140012,,9.37E-09,0.093672418
2980000000,1.57E-10,0.157391147,,2.04E-10,0.20424646,,9.22E-09,0.092211056
3000000000,1.55E-10,0.155108207,,1.99E-10,0.199048081,,9.10E-09,0.090979516
3020000000,1.53E-10,0.153169402,,1.94E-10,0.194453824,,8.99E-09,0.089944331
3040000000,1.52E-10,0.151527315,,1.90E-10,0.190386573,,8.91E-09,0.089077984
3060000000,1.50E-10,0.150142685,,1.87E-10,0.186780875,,8.84E-09,0.088357764
